A1   -   1º PEL / 1ª CIA,
Nº,NOTA
A1-1006,"5,75"
A1-1009,6
A1-1011,"5,5"
A1-1117,7
A1-1118,"3,5"
A1-1016,6
A1-1019,7
A1-1020,"6,5"
A1-1023,7
A1-1024,"6,5"
A1-1025,"5,25"
A1-1030,5
A1-1035,5
A1-1037,"4,5"
A1-1040,"6,25"
A1-1041,"6,25"
A1-1045,"6,25"
A1-1048,"6,5"
A1-1050,"5,75"
A1-1051,"6,25"
A1-1052,"5,5"
A1-1167,"5,75"
A1-1169,6
A1-1171,7
A1-1172,"5,75"
E1   -   2º PEL / 1ª CIA,
Nº,NOTA
E1-1002,7
E1-1003,7
E1-1008,"6,5"
E1-1010,"6,5"
E1-1012,"6,5"
E1-1014,"6,5"
E1-1018,"5,75"
E1-1027,"5,5"
E1-1029,"5,75"
E1-1033,"6,5"
E1-1034,7
E1-1036,6
E1-1042,"6,5"
E1-1043,7
E1-1044,6
E1-1057,7
E1-1058,7
E1-1001,"5,8"
E1-1154,7
E1-1155,7
E1-1156,"6,5"
E1-1157,"4,75"
E1-1158,"5,5"
E1-1153,"5,5"
E1-1170,7
M1   -   4º PEL / 1ª CIA,
Nº,NOTA
M1-1004,7
M1-1005,"6,5"
M1-1007,7
M1-1013,6
M1-1015,"5,5"
M1-1021,7
M1-1022,"6,75"
M1-1026,"6,5"
M1-1028,5
M1-1031,"5,25"
M1-1032,"6,5"
M1-1038,"6,5"
M1-1039,7
M1-1046,"6,75"
M1-1047,"5,5"
M1-1049,"5,25"
M1-1059,"6,5"
M1-1061,6
M1-1062,"3,5"
M1-1064,7
M1-1066,7
M1-1167,6
M1-1169,6
M1-1164,7
M1-1166,"6,5"
M1-1177,"5,5"
A2   -   1º PEL / 2ª CIA,
Nº,NOTA
A2-2053,6
A2-2054,"6,25"
A2-2055,"6,5"
A2-2056,"6,5"
A2-2060,"6,25"
A2-2063,6
A2-2065,"4,5"
A2-2068,5
A2-2070,7
A2-2071,"4,9"
A2-2074,"6,5"
A2-2076,"5,25"
A2-2077,"6,25"
A2-2079,"6,5"
A2-2084,"5,75"
A2-2087,7
A2-2089,"5,75"
A2-2092,"5,25"
A2-2094,6
A2-2102,"5,75"
A2-2110,5
A2-2113,7
A2-2173,6
A2-2174,"6,5"
E2   -   3º PEL / 1ª CIA,
Nº,PROVA
E2-2073,6
E2-2075,"5,5"
E2-2078,"5,75"
E2-2082,"4,5"
E2-2083,"6,75"
E2-2088,"5,75"
E2-2096,6
E2-2097,"6,5"
E2-2099,7
E2-2101,6
E2-2103,"5,5"
E2-2104,"6,5"
E2-2105,"6,25"
E2-2106,7
E2-2107,"6,75"
E2-2108,"5,25"
E2-2111,"4,5"
E2-2112,7
E2-2114,"6,5"
E2-2115,"4,75"
E2-1159,7
E2-2160,"4,5"
E2-2161,5
E2-2162,"6,25"
E2-2175,"3,25"
M2   -   3º PEL / 2ª CIA,
Nº,PROVA
M2-2072,"5,75"
M2-2080,"5,25"
M2-2081,"5,75"
M2-2085,"6,75"
M2-2086,7
M2-2090,"6,5"
M2-2091,"6,75"
M2-2093,"5,25"
M2-2095,"6,75"
M2-2098,"5,25"
M2-2100,"4,25"
M2-2109,6
M2-2119,6
M2-2120,7
M2-2121,"6,5"
M2-2122,7
M2-2123,6
M2-2124,"6,5"
M2-2128,"6,75"
M2-2132,"6,25"
M2-2134,"6,25"
M2-2135,"4,75"
M2-2139,"5,75"
M2-2141,BAIXA
M2-2165,"6,25"
M2-2168,"6,5"
E3   -   2º PEL / 2ª CIA,
Nº,PROVA
E3-1116,6
E3-1125,"6,5"
E3-1126,6
E3-1127,"6,75"
E3-1129,6
E3-1130,"6,5"
E3-1131,7
E3-1133,"5,5"
E3-1136,"5,5"
E3-1137,"5,75"
E3-1138,"6,25"
E3-1139,"5,75"
E3-1140,7
E3-1142,7
E3-1143,"6,25"
E3-1144,7
E3-1145,5
E3-1146,6
E3-1147,"4,5"
E3-1148,"5,5"
E3-1149,"5,25"
E3-1150,"6,25"
E3-1151,6
E3-1152,5
E3-1176,6
