A1   -   1º PEL / 1ª CIA,
Nº,NOTA
A1-1006,"9,5"
A1-1009,6
A1-1011,"8,5"
A1-1117,10
A1-1118,"5,5"
A1-1016,"9,5"
A1-1019,"9,5"
A1-1020,10
A1-1023,"9,5"
A1-1024,"9,5"
A1-1025,9
A1-1030,"8,5"
A1-1035,"6,5"
A1-1037,7
A1-1040,"7,5"
A1-1041,10
A1-1045,7
A1-1048,"6,5"
A1-1050,"8,5"
A1-1051,"9,5"
A1-1052,"8,5"
A1-1167,"8,5"
A1-1169,7
A1-1171,9
A1-1172,"9,5"
E1   -   2º PEL / 1ª CIA,
Nº,NOTA
E1-1002,10
E1-1003,10
E1-1008,9
E1-1010,"9,5"
E1-1012,"9,5"
E1-1014,10
E1-1018,"8,5"
E1-1027,9
E1-1029,"9,5"
E1-1033,8
E1-1034,9
E1-1036,7
E1-1042,9
E1-1043,10
E1-1044,8
E1-1057,8
E1-1058,"9,5"
E1-1001,7
E1-1154,"8,5"
E1-1155,10
E1-1156,"9,5"
E1-1157,"7,5"
E1-1158,6
E1-1153,8
E1-1170,"8,5"
M1   -   4º PEL / 1ª CIA,
Nº,NOTA
M1-1004,"8,5"
M1-1005,9
M1-1007,"9,5"
M1-1013,"8,5"
M1-1015,"8,5"
M1-1021,"9,5"
M1-1022,8
M1-1026,9
M1-1028,8
M1-1031,9
M1-1032,8
M1-1038,10
M1-1039,"7,5"
M1-1046,9
M1-1047,8
M1-1049,7
M1-1059,9
M1-1061,7
M1-1062,"6,5"
M1-1064,B A I X A
M1-1066,9
M1-1167,"8,5"
M1-1169,7
M1-1164,"7,5"
M1-1166,9
M1-1177,8
A2   -   1º PEL / 2ª CIA,
Nº,NOTA
A2-2053,"7,5"
A2-2054,8
A2-2055,9
A2-2056,"7,5"
A2-2060,"7,5"
A2-2063,"9,5"
A2-2065,6
A2-2068,7
A2-2070,9
A2-2071,"8,5"
A2-2074,"8,5"
A2-2076,"8,5"
A2-2077,"8,5"
A2-2079,6
A2-2084,8
A2-2087,9
A2-2089,9
A2-2092,"6,5"
A2-2094,8
A2-2102,6
A2-2110,7
A2-2113,"7,5"
A2-2173,10
A2-2174,"6,5"
E2   -   3º PEL / 1ª CIA,
Nº,NOTA
E2-2073,"8,5"
E2-2075,5
E2-2078,"8,5"
E2-2082,"6,5"
E2-2083,7
E2-2088,6
E2-2096,"7,5"
E2-2097,9
E2-2099,"8,5"
E2-2101,"7,5"
E2-2103,"8,5"
E2-2104,"9,5"
E2-2105,"6,5"
E2-2106,"9,5"
E2-2107,"7,5"
E2-2108,7
E2-2111,"8,5"
E2-2112,"9,5"
E2-2114,"7,5"
E2-2115,"8,5"
E2-1159,9
E2-2160,"8,5"
E2-2161,6
E2-2162,"8,5"
E2-2175,8
M2   -   3º PEL / 2ª CIA,
Nº,NOTA
M2-2072,8
M2-2080,8
M2-2081,"9,5"
M2-2085,8
M2-2086,9
M2-2090,8
M2-2091,"7,5"
M2-2093,"7,5"
M2-2095,"7,5"
M2-2098,8
M2-2100,7
M2-2109,9
M2-2119,"7,5"
M2-2120,"7,5"
M2-2121,9
M2-2122,8
M2-2123,"7,5"
M2-2124,"7,5"
M2-2128,9
M2-2132,8
M2-2134,"5,5"
M2-2135,"9,5"
M2-2139,"7,5"
M2-2141,B A I X A
M2-2165,8
M2-2168,"7,5"
E3   -   2º PEL / 2ª CIA,
Nº,NOTA
E3-1116,"5,5"
E3-1125,"9,5"
E3-1126,"8,5"
E3-1127,"8,5"
E3-1129,"9,5"
E3-1130,7
E3-1131,8
E3-1133,8
E3-1136,8
E3-1137,"9,5"
E3-1138,8
E3-1139,7
E3-1140,9
E3-1142,9
E3-1143,"6,5"
E3-1144,"9,5"
E3-1145,7
E3-1146,7
E3-1147,6
E3-1148,9
E3-1149,"3,5"
E3-1150,"6,5"
E3-1151,"7,5"
E3-1152,"7,5"
E3-1176,"7,5"
