A1   -   1º PEL / 1ª CIA,
Nº,NOTA
A1-1006,10
A1-1009,"9,5"
A1-1011,"9,5"
A1-1117,9
A1-1118,6
A1-1016,10
A1-1019,"9,5"
A1-1020,"9,5"
A1-1023,9
A1-1024,"9,5"
A1-1025,"9,5"
A1-1030,"7,5"
A1-1035,"9,5"
A1-1037,8
A1-1040,"9,5"
A1-1041,"9,5"
A1-1045,9
A1-1048,"9,5"
A1-1050,"8,5"
A1-1051,9
A1-1052,"8,5"
A1-1167,"7,5"
A1-1169,9
A1-1171,"8,5"
A1-1172,10
E1   -   2º PEL / 1ª CIA,
Nº,NOTA
E1-1002,10
E1-1003,10
E1-1008,"9,5"
E1-1010,9
E1-1012,"9,5"
E1-1014,10
E1-1018,"9,5"
E1-1027,"9,5"
E1-1029,9
E1-1033,10
E1-1034,10
E1-1036,10
E1-1042,"9,5"
E1-1043,"9,5"
E1-1044,"9,5"
E1-1057,9
E1-1058,9
E1-1001,"8,5"
E1-1154,"9,5"
E1-1155,"9,5"
E1-1156,"9,5"
E1-1157,"8,5"
E1-1158,"8,5"
E1-1153,10
E1-1170,9
M1   -   4º PEL / 1ª CIA,
Nº,NOTA
M1-1004,10
M1-1005,10
M1-1007,10
M1-1013,"9,5"
M1-1015,9
M1-1021,10
M1-1022,9
M1-1026,9
M1-1028,"7,5"
M1-1031,"9,5"
M1-1032,10
M1-1038,9
M1-1039,"8,5"
M1-1046,9
M1-1047,8
M1-1049,9
M1-1059,9
M1-1061,"9,5"
M1-1062,8
M1-1064,10
M1-1066,"9,5"
M1-1167,9
M1-1169,"9,5"
M1-1164,"9,5"
M1-1166,"8,5"
M1-1177,"7,5"
A2   -   1º PEL / 2ª CIA,
Nº,NOTA
A2-2053,"9,5"
A2-2054,"9,5"
A2-2055,9
A2-2056,"7,5"
A2-2060,"8,5"
A2-2063,"9,5"
A2-2065,7
A2-2068,9
A2-2070,9
A2-2071,"9,5"
A2-2074,9
A2-2076,"9,5"
A2-2077,10
A2-2079,"6,5"
A2-2084,"9,5"
A2-2087,"9,5"
A2-2089,9
A2-2092,9
A2-2094,9
A2-2102,10
A2-2110,"7,5"
A2-2113,"9,5"
A2-2173,"9,5"
A2-2174,9
E2   -   3º PEL / 1ª CIA,
Nº,NOTA
E2-2073,"9,5"
E2-2075,"7,5"
E2-2078,"8,5"
E2-2082,8
E2-2083,9
E2-2088,"9,5"
E2-2096,9
E2-2097,"9,5"
E2-2099,10
E2-2101,10
E2-2103,8
E2-2104,"9,5"
E2-2105,9
E2-2106,10
E2-2107,"8,5"
E2-2108,"8,5"
E2-2111,10
E2-2112,"9,5"
E2-2114,10
E2-2115,9
E2-1159,"9,5"
E2-2160,9
E2-2161,8
E2-2162,"9,5"
E2-2175,7
M2   -   4º PEL / 2ª CIA,
Nº,NOTA
M2-2072,9
M2-2080,"9,5"
M2-2081,9
M2-2085,"8,5"
M2-2086,9
M2-2090,"8,5"
M2-2091,"9,5"
M2-2093,10
M2-2095,9
M2-2098,9
M2-2100,"7,5"
M2-2109,10
M2-2119,"9,5"
M2-2120,"8,5"
M2-2121,10
M2-2122,"9,5"
M2-2123,9
M2-2124,9
M2-2128,"9,5"
M2-2132,10
M2-2134,"9,5"
M2-2135,7
M2-2139,"9,5"
M2-2141,"7,5"
M2-2165,"8,5"
M2-2168,"9,5"
E3   -   2º PEL / 2ª CIA,
Nº,NOTA
E3-1116,"8,5"
E3-1125,"9,5"
E3-1126,"8,5"
E3-1127,10
E3-1129,9
E3-1130,"8,5"
E3-1131,"9,5"
E3-1133,"7,5"
E3-1136,9
E3-1137,"9,5"
E3-1138,9
E3-1139,"7,5"
E3-1140,10
E3-1142,9
E3-1143,8
E3-1144,9
E3-1145,"8,5"
E3-1146,9
E3-1147,7
E3-1148,"9,5"
E3-1149,"8,5"
E3-1150,8
E3-1151,8
E3-1152,9
E3-1176,10
