 1º PEL / 1ª CIA,,,
ÁREA,Nº,,NOTA
ELET,1-,1034,"4,7"
ELET,1-,1057,"5,5"
ELET,1-,1089,"6,5"
ELET,1-,1138,6
ELET,1-,1222,B A I X A
ELET,1-,1246,"6,9"
ELET,1-,1268,7
ELET,1-,1346,"6,5"
ELET,1-,1372,6
ELET,1-,1388,"5,5"
ELET,1-,1411,"6,5"
ELET,1-,1423,"6,5"
ELET,1-,1434,"6,5"
ELET,1-,1443,7
ELET,1-,1478,7
ELET,1-,1484,"6,5"
ELET,1-,1503,7
ELET,1-,1508,"6,5"
ELET,1-,1516,"6,5"
ELET,1-,1541,7
ELET,1-,1543,"6,5"
ELET,1-,1549,6
ELET,1-,1563,"6,4"
ELET,1-,1587,5
3º PEL / 1ª CIA,,,
ÁREA,Nº,,PADRO
APOIO,1-,3011,6
APOIO,1-,3018,"6,3"
APOIO,1-,3059,5
APOIO,1-,3101,7
APOIO,1-,3126,"6,5"
APOIO,1-,3164,"6,5"
APOIO,1-,3207,7
APOIO,1-,3212,"6,5"
APOIO,1-,3233,"6,5"
APOIO,1-,3243,7
APOIO,1-,3281,7
APOIO,1-,3302,7
APOIO,1-,3328,"5,5"
APOIO,1-,3359,"6,5"
APOIO,1-,3387,7
APOIO,1-,3402,7
APOIO,1-,3426,"5,2"
APOIO,1-,3445,"6,5"
APOIO,1-,3465,"3,4"
APOIO,1-,3493,"6,5"
APOIO,1-,3506,"4,9"
APOIO,1-,3656,7
2º PEL / 2ª CIA,,,
ÁREA,Nº,,PADRO
ELET,2-,2009,"6,4"
ELET,2-,2033,7
ELMEC,2-,2063,7
ELET,2-,2074,"6,9"
ELET,2-,2123,"6,5"
ELET,2-,2137,7
ELMEC,2-,2159,7
ELMEC,2-,2201,B A I X A
ELET,2-,2238,"6,4"
ELMEC,2-,2256,6
ELET,2-,2266,"6,3"
ELMEC,2-,2267,5
ELMEC,2-,2273,"6,5"
ELMEC,2-,2309,7
ELET,2-,2370,"6,9"
ELMEC,2-,2374,"5,9"
ELET,2-,2383,"6,8"
ELET,2-,2396,"5,4"
ELMEC,2-,2415,"5,9"
ELMEC,2-,2430,7
ELMEC,2-,2451,"5,9"
ELMEC,2-,2470,6
ELMEC,2-,2486,7
ELMEC,2-,2663,7
 2º PEL / 1ª CIA,,,
ÁREA,Nº,,PADRO
ELET,1-,2025,"4,4"
ELET,1-,2069,6
ELET,1-,2118,"5,5"
ELET,1-,2134,"6,5"
ELET,1-,2172,"6,5"
ELET,1-,2227,7
ELET,1-,2249,"6,4"
ELET,1-,2373,7
ELET,1-,2390,"6,5"
ELET,1-,2413,"5,4"
ELET,1-,2437,"6,8"
ELET,1-,2447,"6,5"
ELET,1-,2480,"5,5"
ELET,1-,2501,"5,9"
ELET,1-,2505,7
ELET,1-,2509,"5,7"
ELET,1-,2524,5
ELET,1-,2535,6
ELET,1-,2539,6
ELET,1-,2542,7
ELET,1-,2544,B A I X A
ELET,1-,2561,"6,5"
1º PEL / 2ª CIA,,,
ÁREA,Nº,,PADRO
APOIO,2-,1038,7
APOIO,2-,1088,"6,5"
APOIO,2-,1139,"4,9"
APOIO,2-,1158,"5,5"
APOIO,2-,1203,"5,9"
APOIO,2-,1211,6
APOIO,2-,1219,7
APOIO,2-,1239,"6,3"
APOIO,2-,1253,6
APOIO,2-,1282,"4,5"
APOIO,2-,1304,4
APOIO,2-,1321,7
APOIO,2-,1347,7
APOIO,2-,1385,7
APOIO,2-,1455,"6,5"
APOIO,2-,1463,"6,4"
APOIO,2-,1483,6
APOIO,2-,1502,B A I X A
APOIO,2-,1620,"4,9"
APOIO,2-,1640,6
APOIO,2-,1651,"5,8"
APOIO,2-,1665,"3,7"
APOIO,2-,1668,"5,1"
3º PEL / 2ª CIA,,,
ÁREA,Nº,,PADRO
ELMEC,2-,3105,6
ELMEC,2-,3244,5
ELMEC,2-,3261,6
ELMEC,2-,3272,5
ELMEC,2-,3337,"6,5"
ELMEC,2-,3375,"4,7"
ELMEC,2-,3421,7
ELMEC,2-,3449,"4,9"
ELMEC,2-,3462,"3,8"
ELMEC,2-,3475,7
ELMEC,2-,3488,"5,3"
ELMEC,2-,3496,"3,3"
ELMEC,2-,3511,6
ELMEC,2-,3513,"3,3"
ELMEC,2-,3514,"4,4"
ELMEC,2-,3519,"6,5"
ELMEC,2-,3520,"5,8"
ELMEC,2-,3532,"4,9"
ELMEC,2-,3533,"5,3"
ELMEC,2-,3545,7
ELMEC,2-,3551,"5,4"
ELMEC,2-,3557,7
ELMEC,2-,3633,7
