E1 – ELETROELETRÔNICA – FASE 2,,
ÁREA,Nº,NOTA
ELET,1-1034,"7,75"
ELET,1-1057,"8,5"
ELET,1-1089,"8,5"
ELET,1-1138,"8,75"
ELET,1-1222,B A I X A
ELET,1-1246,9
ELET,1-1268,7
ELET,1-1346,"7,25"
ELET,1-1372,"7,75"
ELET,1-1388,"8,5"
ELET,1-1411,"7,5"
ELET,1-1423,"7,5"
ELET,1-1434,"7,25"
ELET,1-1443,"8,75"
ELET,1-1478,9
ELET,1-1484,6
ELET,1-1503,"9,5"
ELET,1-1508,"8,25"
ELET,1-1516,"8,5"
ELET,1-1541,"6,2"
ELET,1-1543,8
ELET,1-1549,"8,5"
ELET,1-1563,8
ELET,1-1587,"6,5"
ELET,2-2009,"9,25"
ELET,2-2033,9
ELET,2-2074,9
ELET,2-2123,"8,75"
A1 – APOIO – FASE 2,,
ÁREA,Nº,NOTA
APOIO,1-3011,9
APOIO,1-3018,"9,5"
APOIO,1-3059,"8,7"
APOIO,1-3101,9
APOIO,1-3126,"8,5"
APOIO,1-3164,9
APOIO,1-3207,10
APOIO,1-3212,9
APOIO,1-3233,8
APOIO,1-3243,8
APOIO,1-3281,"9,5"
APOIO,1-3302,"8,5"
APOIO,1-3328,"8,25"
APOIO,1-3359,"8,75"
APOIO,1-3387,"8,8"
APOIO,1-3402,"8,5"
APOIO,1-3426,5
APOIO,1-3445,10
APOIO,1-3465,6
APOIO,1-3493,"7,5"
APOIO,1-3506,7
APOIO,1-3656,8
M1 – ELETROMECÂNICA – FASE 2,,
ÁREA,Nº,NOTA
ELMEC,2-2063,"7,9"
ELMEC,2-2159,"8,9"
ELMEC,2-2201,B A I X A
ELMEC,2-2256,"7,8"
ELMEC,2-2267,8
ELMEC,2-2273,"8,5"
ELMEC,2-2309,"8,5"
ELMEC,2-2374,8
ELMEC,2-2415,8
ELMEC,2-2430,"8,4"
ELMEC,2-2451,"6,3"
ELMEC,2-2470,"8,65"
ELMEC,2-2486,"8,3"
ELMEC,2-2663,9
ELMEC,2-3105,"9,4"
ELMEC,2-3244,8
ELMEC,2-3261,"7,65"
ELMEC,2-3272,8
ELMEC,2-3337,"9,2"
ELMEC,2-3375,"7,8"
ELMEC,2-3421,"9,5"
ELMEC,2-3449,"6,9"
ELMEC,2-3462,"8,65"
ELMEC,2-3475,"8,9"
ELMEC,2-3488,"8,55"
ELMEC,2-3496,6
ELMEC,2-3511,7
ELMEC,2-3513,"7,35"
ELMEC,2-3514,"6,55"
ELMEC,2-3519,"6,1"
ELMEC,2-3520,"7,9"
ELMEC,2-3532,"8,3"
ELMEC,2-3533,8
ELMEC,2-3545,"8,7"
ELMEC,2-3551,"9,5"
ELMEC,2-3557,10
ELMEC,2-3633,"8,5"
E2 – ELETROELETRÔNICA – FASE 2,,
ÁREA,Nº,NOTA
ELET,1-2025,6
ELET,1-2069,"8,4"
ELET,1-2118,"9,4"
ELET,1-2134,"8,91"
ELET,1-2172,"8,25"
ELET,1-2227,"9,3"
ELET,1-2249,"6,25"
ELET,1-2373,"7,65"
ELET,1-2390,"8,9"
ELET,1-2413,"8,1"
ELET,1-2437,"7,1"
ELET,1-2447,"8,9"
ELET,1-2480,"8,1"
ELET,1-2501,"7,8"
ELET,1-2505,9
ELET,1-2509,"6,7"
ELET,1-2524,"6,5"
ELET,1-2535,"7,5"
ELET,1-2539,"7,9"
ELET,1-2542,"8,15"
ELET,1-2544,B A I X A
ELET,1-2561,"8,2"
ELET,1-2137,"8,25"
ELET,2-2238,"6,5"
ELET,2-2266,"8,9"
ELET,2-2370,"8,9"
ELET,2-2383,"8,5"
ELET,2-2396,"8,65"
A2 – APOIO – FASE 2,,
ÁREA,Nº,NOTA
APOIO,2-1038,"9,5"
APOIO,2-1088,9
APOIO,2-1139,"9,5"
APOIO,2-1158,"7,5"
APOIO,2-1203,"8,25"
APOIO,2-1211,"8,5"
APOIO,2-1219,"8,25"
APOIO,2-1239,"8,5"
APOIO,2-1253,6
APOIO,2-1282,"7,5"
APOIO,2-1304,"7,5"
APOIO,2-1321,"9,25"
APOIO,2-1347,7
APOIO,2-1385,9
APOIO,2-1455,"8,75"
APOIO,2-1463,7
APOIO,2-1483,8
APOIO,2-1502,B A I X A
APOIO,2-1620,8
APOIO,2-1640,"8,25"
APOIO,2-1651,8
APOIO,2-1665,"8,75"
APOIO,2-1668,8
