1º PELOTÃO DA 1ª COMPANHIA ,,
ÁREA,Nº,NOTA
APOIO,1-1010,"6,5"
APOIO,1-1016,7
APOIO,1-1019,"5,9"
APOIO,1-1023,7
APOIO,1-1027,"6,3"
APOIO,1-1032,6
APOIO,1-1039,7
APOIO,1-1045,"6,4"
APOIO,1-1047,"6,8"
APOIO,1-1050,"5,8"
APOIO,1-1055,7
APOIO,1-1057,"4,7"
APOIO,1-1065,6
APOIO,1-1070,"6,4"
APOIO,1-1073,"4,9"
APOIO,1-1078,6
APOIO,1-1084,"4,5"
APOIO,1-1086,7
APOIO,1-1093,6
APOIO,1-1102,"6,5"
APOIO,1-1103,5
APOIO,1-1105,6
APOIO,1-1106,"5,5"
APOIO,1-1107,"6,4"
APOIO,1-1109,"3,7"
3º PELOTÃO DA 1ª COMPANHIA ,,
ÁREA,Nº,ESC
ELETRO,1-3009,"6,5"
MECAN,1-3013,"5,8"
ELETRO,1-3018,7
MECAN,1-3020,"6,9"
MECAN,1-3033,"6,5"
MECAN,1-3035,"5,5"
ELETRO,1-3037,"6,5"
MECAN,1-3038,"6,4"
MECAN,1-3041,"6,2"
MECAN,1-3049,7
MECAN,1-3052,"5,8"
ELETRO,1-3058,"5,4"
MECAN,1-3061,"6,4"
MECAN,1-3066,"6,5"
ELETRO,1-3068,"6,5"
ELETRO,1-3081,7
ELETRO,1-3099,"6,5"
ELETRO,1-3110,6
MECAN,1-3113,"3,9"
ELETRO,1-3119,"6,5"
ELETRO,1-3123,6
ELETRO,1-3126,"5,5"
ELETRO,1-3131,"6,4"
ELETRO,1-3138,"6,9"
ELETRO,1-3144,"5,4"
MECAN,1-3150,"6,4"
2º PELOTÃO DA 2ª COMPANHIA ,,
ÁREA,Nº,ESC
ELETRO,2-2006,"5,7"
ELETRO,2-2034,"6,5"
ELETRO,2-2053,"6,9"
ELETRO,2-2080,"5,9"
ELETRO,2-2088,"6,4"
ELETRO,2-2098,7
ELETRO,2-2104,"4,9"
ELETRO,2-2115,"6,5"
ELETRO,2-2118,"5,4"
ELETRO,2-2122,"6,9"
ELETRO,2-2125,"5,4"
ELETRO,2-2129,"6,5"
ELETRO,2-2135,"5,7"
ELETRO,2-2143,"6,9"
ELETRO,2-2147,"6,9"
ELETRO,2-2152,"6,5"
ELETRO,2-2158,"6,5"
ELETRO,2-2161,"6,5"
ELETRO,2-2163,7
ELETRO,2-2165,5
ELETRO,2-2167,"4,5"
ELETRO,2-2169,"6,4"
ELETRO,2-2171,"6,9"
ELETRO,2-2173,6
ELETRO,2-2175,"3,4"
ELETRO,2-2177,"5,5"
2º PELOTÃO DA 1ª COMPANHIA ,,
ÁREA,Nº,ESC
ELETRO,1-2011,6
ELETRO,1-2028,5
ELETRO,1-2042,"6,5"
ELETRO,1-2060,"6,5"
ELETRO,1-2072,"5,7"
ELETRO,1-2087,"6,3"
ELETRO,1-2096,7
ELETRO,1-2100,"6,3"
ELETRO,1-2114,"6,5"
ELETRO,1-2117,6
ELETRO,1-2120,"5,4"
ELETRO,1-2124,"4,9"
ELETRO,1-2133,"5,9"
ELETRO,1-2141,"5,5"
ELETRO,1-2146,7
ELETRO,1-2151,"6,5"
ELETRO,1-2154,7
ELETRO,1-2157,"6,9"
ELETRO,1-2160,"6,4"
ELETRO,1-2162,"5,3"
ELETRO,1-2164,"5,5"
ELETRO,1-2166,"5,5"
ELETRO,1-2168,B  A  I  X  A
ELETRO,1-2170,"6,5"
ELETRO,1-2172,"4,4"
ELETRO,1-2174,"4,9"
1º PELOTÃO DA 2ª COMPANHIA ,,
ÁREA,Nº,ESC
APOIO,2-1007,"6,9"
APOIO,2-1015,"5,8"
APOIO,2-1017,6
APOIO,2-1022,7
APOIO,2-1029,"6,3"
APOIO,2-1031,6
APOIO,2-1036,"6,5"
APOIO,2-1046,"3,9"
APOIO,2-1048,"6,5"
APOIO,2-1054,"6,5"
APOIO,2-1056,"5,4"
APOIO,2-1069,"6,4"
APOIO,2-1071,"6,5"
APOIO,2-1077,"5,4"
APOIO,2-1079,6
APOIO,2-1085,"6,5"
APOIO,2-1089,"6,5"
APOIO,2-1092,"5,9"
ELETRO,2-1149,"3,5"
ELETRO,2-1153,"6,8"
ELETRO,2-1156,"6,5"
ELETRO,2-1159,"6,9"
ELETRO,2-1176,"5,4"
ELETRO,2-1178,"4,8"
ELETRO,2-1179,"4,2"
ELETRO,2-1180,"4,4"
ELETRO,2-1181,"4,3"
3º PELOTÃO DA 2ª COMPANHIA ,,
ÁREA,Nº,ESC
MECAN,2-3014,7
MECAN,2-3021,"6,4"
MECAN,2-3040,7
MECAN,2-3044,7
MECAN,2-3051,7
MECAN,2-3059,"5,5"
MECAN,2-3063,7
MECAN,2-3067,"6,5"
MECAN,2-3074,"6,5"
MECAN,2-3075,"4,3"
MECAN,2-3076,6
MECAN,2-3090,"6,5"
MECAN,2-3097,"6,4"
MECAN,2-3101,"6,5"
MECAN,2-3111,"5,3"
MECAN,2-3112,"6,9"
MECAN,2-3121,"5,9"
MECAN,2-3127,"5,4"
MECAN,2-3130,"6,5"
MECAN,2-3132,"5,4"
MECAN,2-3134,"5,3"
MECAN,2-3136,"5,4"
MECAN,2-3139,4
MECAN,2-3140,7
MECAN,2-3142,"5,5"
MECAN,2-3145,"4,4"
MECAN,2-3148,"6,5"
