1º PELOTÃO DA 1ª COMPANHIA – APOIO,,
ÁREA,Nº,NOTA
APOIO,1-1010,"9,5"
APOIO,1-1016,9
APOIO,1-1019,10
APOIO,1-1023,10
APOIO,1-1027,"9,75"
APOIO,1-1032,10
APOIO,1-1039,"9,5"
APOIO,1-1045,"9,75"
APOIO,1-1047,"9,5"
APOIO,1-1050,9
APOIO,1-1055,9
APOIO,1-1057,9
APOIO,1-1065,"9,5"
APOIO,1-1070,10
APOIO,1-1073,9
APOIO,1-1078,"9,5"
APOIO,1-1084,7
APOIO,1-1086,"9,75"
APOIO,1-1093,"7,75"
APOIO,1-1102,10
APOIO,1-1103,8
APOIO,1-1105,"9,5"
APOIO,1-1106,"9,5"
APOIO,1-1107,"9,5"
APOIO,1-1109,"8,25"
3º PELOTÃO DA 1ª COMPANHIA – ELETROELETRÔNICA/MECÂNICA,,
ÁREA,Nº,NOTA
ELETRO,1-3009,"9,75"
MECAN,1-3013,9
ELETRO,1-3018,10
MECAN,1-3020,"9,5"
MECAN,1-3033,10
MECAN,1-3035,"9,5"
ELETRO,1-3037,"9,5"
MECAN,1-3038,10
MECAN,1-3041,10
MECAN,1-3049,10
MECAN,1-3052,"9,5"
ELETRO,1-3058,8
MECAN,1-3061,10
MECAN,1-3066,10
ELETRO,1-3068,10
ELETRO,1-3081,"9,5"
ELETRO,1-3099,9
ELETRO,1-3110,10
MECAN,1-3113,"9,25"
ELETRO,1-3119,"9,5"
ELETRO,1-3123,"9,5"
ELETRO,1-3126,"9,6"
ELETRO,1-3131,10
ELETRO,1-3138,"9,5"
ELETRO,1-3144,"8,37"
MECAN,1-3150,"8,6"
2º PELOTÃO DA 2ª COMPANHIA – ELETROELETRÔNICA,,
ÁREA,Nº,NOTA
ELETRO,2-2006,"9,8"
ELETRO,2-2034,"8,5"
ELETRO,2-2053,"9,5"
ELETRO,2-2080,"8,5"
ELETRO,2-2088,10
ELETRO,2-2098,"9,5"
ELETRO,2-2104,"7,75"
ELETRO,2-2115,10
ELETRO,2-2118,"6,75"
ELETRO,2-2122,"9,25"
ELETRO,2-2125,"9,5"
ELETRO,2-2129,10
ELETRO,2-2135,"7,75"
ELETRO,2-2143,"9,5"
ELETRO,2-2147,10
ELETRO,2-2152,"8,25"
ELETRO,2-2158,"7,5"
ELETRO,2-2161,"7,75"
ELETRO,2-2163,"8,25"
ELETRO,2-2165,"8,5"
ELETRO,2-2167,"6,5"
ELETRO,2-2169,"7,5"
ELETRO,2-2171,"9,75"
ELETRO,2-2173,"8,5"
ELETRO,2-2175,"4,25"
ELETRO,2-2177,"8,75"
2º PELOTÃO DA 1ª COMPANHIA – ELETROELETRÔNICA,,
ÁREA,Nº,NOTA
ELETRO,1-2011,10
ELETRO,1-2028,"9,37"
ELETRO,1-2042,"8,5"
ELETRO,1-2060,"8,5"
ELETRO,1-2072,9
ELETRO,1-2087,9
ELETRO,1-2096,9
ELETRO,1-2100,"7,5"
ELETRO,1-2114,10
ELETRO,1-2117,"8,13"
ELETRO,1-2120,7
ELETRO,1-2124,"9,25"
ELETRO,1-2133,"9,5"
ELETRO,1-2141,"9,5"
ELETRO,1-2146,"8,5"
ELETRO,1-2151,"9,5"
ELETRO,1-2154,10
ELETRO,1-2157,10
ELETRO,1-2160,"9,5"
ELETRO,1-2162,"7,5"
ELETRO,1-2164,"8,5"
ELETRO,1-2166,"8,5"
ELETRO,1-2168,9
ELETRO,1-2170,"9,25"
ELETRO,1-2172,6
ELETRO,1-2174,8
1º PELOTÃO DA 2ª COMPANHIA – APOIO/ELETROELETRÔNICA,,
ÁREA,Nº,NOTA
APOIO,2-1007,10
APOIO,2-1015,"9,62"
APOIO,2-1017,"9,5"
APOIO,2-1022,10
APOIO,2-1029,"9,5"
APOIO,2-1031,10
APOIO,2-1036,"9,87"
APOIO,2-1046,10
APOIO,2-1048,10
APOIO,2-1054,"9,5"
APOIO,2-1056,10
APOIO,2-1069,"9,37"
APOIO,2-1071,"8,5"
APOIO,2-1077,9
APOIO,2-1079,"8,25"
APOIO,2-1085,10
APOIO,2-1089,10
APOIO,2-1092,10
ELETRO,2-1149,8
ELETRO,2-1153,"9,25"
ELETRO,2-1156,9
ELETRO,2-1159,"9,5"
ELETRO,2-1176,"8,5"
ELETRO,2-1178,10
ELETRO,2-1179,"8,45"
ELETRO,2-1180,"8,5"
ELETRO,2-1181,"6,75"
3º PELOTÃO DA 2ª COMPANHIA – MECÂNICA,,
ÁREA,Nº,NOTA
MECAN,2-3014,"9,5"
MECAN,2-3021,9
MECAN,2-3040,"9,5"
MECAN,2-3044,10
MECAN,2-3051,10
MECAN,2-3059,10
MECAN,2-3063,"9,25"
MECAN,2-3067,"9,75"
MECAN,2-3074,10
MECAN,2-3075,"6,25"
MECAN,2-3076,9
MECAN,2-3090,"7,25"
MECAN,2-3097,"9,5"
MECAN,2-3101,"9,5"
MECAN,2-3111,8
MECAN,2-3112,"9,75"
MECAN,2-3121,"9,25"
MECAN,2-3127,9
MECAN,2-3130,8
MECAN,2-3132,"8,75"
MECAN,2-3134,10
MECAN,2-3136,9
MECAN,2-3139,"8,5"
MECAN,2-3140,9
MECAN,2-3142,8
MECAN,2-3145,9
MECAN,2-3148,9
