APOIO 1   (1º PEL/1ª CIA),,,
ÁREA,Nº,,NOTA
APOIO,A1-,1-1010,"9,375"
APOIO,A1-,1-1016,10
APOIO,A1-,1-1019,"9,375"
APOIO,A1-,1-1023,10
APOIO,A1-,1-1027,"8,75"
APOIO,A1-,1-1032,"8,75"
APOIO,A1-,1-1039,"9,375"
APOIO,A1-,1-1045,"9,375"
APOIO,A1-,1-1047,"6,875"
APOIO,A1-,1-1050,"8,75"
APOIO,A1-,1-1055,"9,375"
APOIO,A1-,1-1057,"6,875"
APOIO,A1-,1-1065,"8,75"
APOIO,A1-,1-1070,"9,375"
APOIO,A1-,1-1073,"7,5"
APOIO,A1-,1-1078,"5,625"
APOIO,A1-,1-1084,"8,125"
APOIO,A1-,1-1086,"8,75"
APOIO,A1-,1-1093,"7,5"
APOIO,A1-,1-1102,"9,375"
APOIO,A1-,1-1105,10
APOIO,A2-,1-1107,10
ELETROELETRÔNICA 1 (2º PEL/2ª CIA),,,
ÁREA,Nº,,NOTA
ELETRO,E2-,2-2006,"9,375"
ELETRO,E2-,2-2034,"9,375"
ELETRO,E2-,2-2053,10
ELETRO,E2-,2-2080,10
ELETRO,E2-,2-2088,"9,375"
ELETRO,E2-,2-2098,"8,75"
ELETRO,E2-,2-2104,"6,875"
ELETRO,E2-,2-2115,"8,75"
ELETRO,E2-,2-2118,"6,875"
ELETRO,E2-,2-2122,10
ELETRO,E2-,2-2125,10
ELETRO,E2-,2-2129,10
ELETRO,E2-,2-2135,"6,25"
ELETRO,E2-,2-2143,"9,375"
ELETRO,E2-,2-2147,"8,125"
ELETRO,E2-,2-2152,"9,375"
ELETRO,E2-,2-2158,"8,75"
ELETRO,E2-,2-2161,5
ELETRO,E2-,2-2163,"6,875"
ELETRO,E2-,2-2165,"6,875"
ELETRO,E2-,2-2167,6
ELETRO,E2-,2-2169,"8,125"
ELETRO,E2-,2-2171,10
ELETRO,E2-,2-2173,"8,125"
ELETRO,E2-,2-2175,"5,5"
ELETROELETRÔNICA 3 (3º PEL/1ª CIA),,,
ÁREA,Nº,,NOTA
ELETRO,E3-,1-3009,"9,375"
ELETRO,E3-,1-3018,10
ELETRO,E3-,1-3037,"9,375"
ELETRO,E3-,1-3058,"8,125"
ELETRO,E3-,1-3068,"5,625"
ELETRO,E3-,1-3081,10
ELETRO,E3-,1-3099,"8,125"
ELETRO,E3-,1-3110,"8,75"
ELETRO,E3-,1-3119,10
ELETRO,E3-,1-3123,"5,625"
ELETRO,E3-,1-3126,"9,375"
ELETRO,E3-,1-3131,"8,125"
ELETRO,E3-,1-3138,10
ELETRO,E3-,1-3144,"8,125"
ELETRO,E3-,2-1149,"6,875"
ELETRO,E3-,2-1153,"9,375"
ELETRO,E3-,2-1156,"9,375"
ELETRO,E3-,2-1159,10
ELETRO,E3-,2-1176,10
ELETRO,E3-,2-1178,"7,5"
ELETRO,E3-,2-1179,6
ELETRO,E3-,2-1180,"6,25"
ELETRO,E3-,2-1181,"3,125"
ELETRO,E2-,2-2177,"7,5"
APOIO 2   (1º PEL/2ª CIA),,,
ÁREA,Nº,,NOTA
APOIO,A2-,2-1007,10
APOIO,A2-,2-1015,"8,75"
APOIO,A2-,2-1017,"8,75"
APOIO,A2-,2-1022,"8,75"
APOIO,A2-,2-1029,"9,375"
APOIO,A2-,2-1031,"9,375"
APOIO,A2-,2-1036,"9,375"
APOIO,A2-,2-1046,"8,75"
APOIO,A2-,2-1048,10
APOIO,A2-,2-1054,"8,125"
APOIO,A2-,2-1056,"9,375"
APOIO,A2-,2-1069,7
APOIO,A2-,2-1071,10
APOIO,A2-,2-1077,"8,125"
APOIO,A2-,2-1079,"9,375"
APOIO,A2-,2-1085,"9,375"
APOIO,A2-,2-1089,10
APOIO,A2-,2-1092,"7,5"
APOIO,A2-,1-1109,"5,9"
APOIO,A2-,1-1103,5
APOIO,A2-,1-1106,"7,5"
ELETROELETRÔNICA 2 (2º PEL/1ª CIA),,,
ÁREA,Nº,,NOTA
ELETRO,E1-,1-2011,10
ELETRO,E1-,1-2028,"9,375"
ELETRO,E1-,1-2042,"8,75"
ELETRO,E1-,1-2060,"9,375"
ELETRO,E1-,1-2072,"5,625"
ELETRO,E1-,1-2087,"8,125"
ELETRO,E1-,1-2096,"9,375"
ELETRO,E1-,1-2100,"8,125"
ELETRO,E1-,1-2114,"8,75"
ELETRO,E1-,1-2117,"8,125"
ELETRO,E1-,1-2120,"6,25"
ELETRO,E1-,1-2124,"9,375"
ELETRO,E1-,1-2133,5
ELETRO,E1-,1-2141,"4,375"
ELETRO,E1-,1-2146,"8,75"
ELETRO,E1-,1-2151,10
ELETRO,E1-,1-2154,"8,75"
ELETRO,E1-,1-2157,"9,375"
ELETRO,E1-,1-2160,"8,125"
ELETRO,E1-,1-2162,"9,375"
ELETRO,E1-,1-2164,"6,875"
ELETRO,E1-,1-2166,"8,75"
ELETRO,E1-,1-2170,"8,75"
ELETRO,E1-,1-2172,"8,125"
ELETRO,E1-,1-2174,"8,75"
MECÂNICA 1 (3º PEL/2ª CIA),,,
ÁREA,Nº,,NOTA
MECAN,M1-,2-3014,10
MECAN,M1-,2-3021,"9,375"
MECAN,M1-,2-3040,10
MECAN,M1-,2-3044,"9,375"
MECAN,M1-,2-3051,10
MECAN,M1-,2-3059,10
MECAN,M1-,2-3063,10
MECAN,M1-,2-3067,10
MECAN,M1-,2-3074,10
MECAN,M1-,2-3075,"6,875"
MECAN,M1-,2-3076,"7,5"
MECAN,M1-,2-3090,10
MECAN,M1-,2-3097,"8,75"
MECAN,M1-,2-3101,"8,125"
MECAN,M1-,2-3111,"8,125"
MECAN,M1-,2-3112,"9,375"
MECAN,M1-,2-3121,10
MECAN,M1-,2-3127,"8,75"
MECAN,M1-,2-3130,"9,375"
MECAN,M1-,2-3132,"6,875"
MECAN,M1-,2-3134,"8,75"
MECAN,M1-,2-3136,"8,75"
MECAN,M1-,2-3139,"9,375"
MECAN,M1-,2-3140,"8,75"
