A1   -   1º PEL / 1ª CIA,
Nº,NOTA
A1-1009,"8,500"
A1-1027,"9,500"
A1-1068,"9,500"
A1-1169,"10,0"
A1-1202,"10,0"
A1-1218,"8,500"
A1-1247,"9,500"
A1-1275,"8,500"
A1-1308,"7,0"
A1-1327,"9,500"
A1-1342,"10,0"
A1-1392,"8,0"
A1-1421,"9,0"
A1-1469,"9,0"
A1-1745,"6,500"
A1-1756,"9,500"
A1-1758,"6,500"
A1-1761,"9,0"
A1-1762,"8,500"
A2   - 1º PEL / 2ª CIA,
Nº,NOTA
A2-2067,"8,0"
A2-2088,"9,0"
A2-2151,"10,0"
A2-2180,"9,500"
A2-2198,"8,500"
A2-2235,"9,500"
A2-2266,"8,500"
A2-2280,"9,500"
A2-2290,"9,500"
A2-2312,"10,0"
A2-2366,"10,0"
A2-2408,"9,500"
A2-2425,"8,0"
A2-2446,"7,500"
A2-2473,"7,0"
A2-2491,"9,0"
A2-2492,"7,0"
A2-2755,"8,0"
E1  - 2º PEL / 1ª CIA,
Nº,NOTA
E1-1016,"10,0"
E1-1050,"9,500"
E1-1063,"9,500"
E1-1079,"8,500"
E1-1213,"9,0"
E1-1261,"9,0"
E1-1286,"7,500"
E1-1462,"9,0"
E1-1484,"8,0"
E1-1561,"8,0"
E1-1597,"9,0"
E1-1612,"8,0"
E1-1649,"9,500"
E1-1670,"8,0"
E1-1678,"9,0"
E1-1700,"8,0"
E1-1714,"9,500"
E1-1737,"9,0"
E1-1748,"8,0"
E1-1754,"8,0"
E1-1767,"7,500"
E1-1769,"5,500"
E2   -  3º PEL / 1ª CIA,
Nº,NOTA
E2-1086,"8,500"
E2-1164,"8,500"
E2-1206,"10,0"
E2-1219,"8,0"
E2-1301,"10,0"
E2-1351,"9,500"
E2-1471,"5,500"
E2-1489,"7,500"
E2-1532,"8,500"
E2-1569,"7,0"
E2-1616,"7,500"
E2-1655,"9,500"
E2-1672,"8,0"
E2-1680,"8,500"
E2-1704,"9,0"
E2-1717,"8,0"
E2-1733,"7,0"
E2-1738,"10,0"
E2-1749,"8,0"
E2-1757,"9,0"
E2-1760,"9,0"
E2- 1768,"9,0"
E3   -  2º PEL / 2ª CIA,
Nº,NOTA
E3-2091,"8,500"
E3-2168,"7,500"
E3-2236,"9,500"
E3-2276,"8,0"
E3-2303,"8,0"
E3-2359,"8,500"
E3-2493,"9,0"
E3-2536,"8,500"
E3-2581,"8,0"
E3-2617,"8,500"
E3-2660,"9,500"
E3-2673,"9,0"
E3-2710,"9,500"
E3-2718,"7,500"
E3-2730,"9,500"
E3-2744,"10,0"
E3-2746,"6,500"
E3-2765,"9,500"
E3-2772,"5,0"
E3-2773,"8,500"
E3-2774,"6,500"
E3-2776,"6,0"
E4   -   3º PEL / 2ª CIA,
Nº,NOTA
E4-2035,"9,0"
E4-2075,"7,0"
E4-2077,"9,500"
E4-2173,"8,0"
E4-2208,"9,500"
E4-2241,"4,500"
E4-2279,"5,500"
E4-2313,"8,500"
E4-2391,"9,0"
E4-2504,"6,0"
E4-2545,"9,0"
E4-2611,"4,0"
E4-2662,"7,500"
E4-2674,"8,0"
E4-2693,"9,0"
E4-2713,"7,0"
E4-2719,"9,500"
E4-2747,"9,500"
E4-2753,"6,500"
E4-2770,"8,500"
E4-2771,"7,0"
M1   -  4º PEL / 1ª CIA,
Nº,NOTA
M1-1058,"7,500"
M1-1083,"8,500"
M1-1117,"9,500"
M1-1129,"8,0"
M1-1171,"7,500"
M1-1220,"7,0"
M1-1250,"9,500"
M1-1272,"9,500"
M1-1368,"7,500"
M1-1437,"8,0"
M1-1447,"9,0"
M1-1502,"9,0"
M1-1506,"7,500"
M1-1540,"8,0"
M1-1555,"8,500"
M1-1586,"8,0"
M1-1623,"7,500"
M1-1759,"6,500"
M1-1763,"9,0"
M1-1764,"8,0"
M1-1775,"9,500"
M2   -   4º PEL / 2ª CIA,
Nº,NOTA
M2-2026,"9,500"
M2-2073,"8,500"
M2-2104,"8,500"
M2-2119,"9,0"
M2-2137,"9,0"
M2-2201,"9,0"
M2-2225,"9,0"
M2-2271,"9,0"
M2-2317,"8,0"
M2-2380,"6,500"
M2-2494,"9,0"
M2-2503,"6,500"
M2-2529,"8,0"
M2-2551,"8,0"
M2-2556,"8,0"
M2-2637,"7,500"
M2-2648,"8,500"
M2-2663,"9,500"
M2-2668,"6,0"
M2-2669,"7,500"
M2-2752,"8,500"
