A1   -   1º PEL / 1ª CIA,
Nº,NOTA
A1-1009,"6,3"
A1-1027,"6,5"
A1-1068,"6,5"
A1-1169,"6,1"
A1-1202,5
A1-1218,"5,9"
A1-1247,"5,6"
A1-1275,"5,6"
A1-1308,"6,4"
A1-1327,"5,35"
A1-1342,"5,9"
A1-1392,"5,5"
A1-1421,6
A1-1469,"6,1"
A1-1745,"4,6"
A1-1756,"5,5"
A1-1758,5
A1-1761,4
A1-1762,"5,5"
E1   -   2º PEL / 1ª CIA,
Nº,PROVA
E1-1016,"6,2"
E1-1050,6
E1-1063,"6,2"
E1-1079,"4,1"
E1-1213,"6,1"
E1-1261,"5,6"
E1-1286,"5,9"
E1-1462,"6,4"
E1-1484,"4,7"
E1-1561,"5,7"
E1-1597,"5,75"
E1-1612,4
E1-1649,6
E1-1670,"4,9"
E1-1678,"5,7"
E1-1700,"6,1"
E1-1714,"6,2"
E1-1737,4
E1-1748,6
E1-1754,6
E1-1767,"6,5"
E1-1769,3
M1   -   4º PEL / 1ª CIA,
Nº,PROVA
M1-1058,7
M1-1083,"6,3"
M1-1117,"6,4"
M1-1129,"5,9"
M1-1171,"4,8"
M1-1220,"6,6"
M1-1250,"6,7"
M1-1272,"6,6"
M1-1368,"4,6"
M1-1437,6
M1-1447,6
M1-1502,7
M1-1506,"5,7"
M1-1540,"6,6"
M1-1555,"6,6"
M1-1586,"6,3"
M1-1623,"5,6"
M1-1759,"5,8"
M1-1763,"4,6"
M1-1764,"6,6"
M1-1775,"6,5"
A2   -   1º PEL / 2ª CIA,
Nº,PROVA
A2-2067,"5,4"
A2-2088,"5,6"
A2-2151,"6,2"
A2-2180,"5,4"
A2-2198,"4,5"
A2-2235,6
A2-2266,5
A2-2280,"6,3"
A2-2290,7
A2-2312,"6,5"
A2-2366,"6,1"
A2-2408,"5,6"
A2-2425,"5,6"
A2-2446,"5,6"
A2-2473,4
A2-2491,"6,5"
A2-2492,"6,9"
A2-2750,B  A  I  X  A
A2-2755,"5,2"
E2   -   3º PEL / 1ª CIA,
Nº,PROVA
E2-1086,"5,9"
E2-1164,"6,4"
E2-1206,"5,8"
E2-1219,"5,6"
E2-1301,"6,3"
E2-1351,"6,8"
E2-1471,7
E2-1489,4
E2-1532,"5,7"
E2-1569,"6,9"
E2-1616,"5,4"
E2-1655,"5,8"
E2-1672,6
E2-1680,"5,6"
E2-1704,"6,2"
E2-1717,"6,1"
E2-1729,B A I X A
E2-1733,"5,1"
E2-1738,7
E2-1749,"6,5"
E2-1757,"3,5"
E2-1760,"6,2"
E2-1768,"5,8"
M2   -   4º PEL / 2ª CIA,
Nº,PROVA
M2-2026,"6,1"
M2-2073,"6,7"
M2-2104,"5,9"
M2-2119,"6,3"
M2-2137,"6,9"
M2-2201,"6,5"
M2-2225,"6,4"
M2-2271,"5,9"
M2-2317,"5,4"
M2-2380,"5,7"
M2-2494,"6,3"
M2-2503,"5,3"
M2-2529,"5,6"
M2-2551,"5,5"
M2-2556,"6,4"
M2-2637,4
M2-2648,"6,7"
M2-2663,"6,7"
M2-2668,"5,6"
M2-2669,"5,4"
M2-2752,"6,1"
E3   -   2º PEL / 2ª CIA,
Nº,PROVA
E3-2091,"5,5"
E3-2168,"5,5"
E3-2236,7
E3-2276,7
E3-2303,"5,9"
E3-2359,"5,3"
E3-2493,"6,5"
E3-2536,"6,5"
E3-2581,6
E3-2617,"6,1"
E3-2660,"6,3"
E3-2673,"6,2"
E3-2710,"6,5"
E3-2718,"5,1"
E3-2730,7
E3-2744,"6,3"
E3-2746,4
E3-2765,7
E3-2772,"5,6"
E3-2773,"4,4"
E3-2774,"4,5"
E3-2776,"4,3"
E4   -   3º PEL / 2ª CIA,
Nº,PROVA
E4-2035,"6,5"
E4-2075,"6,1"
E4-2077,"6,5"
E4-2173,"6,5"
E4-2208,"6,8"
E4-2241,"3,9"
E4-2279,"4,5"
E4-2313,"3,25"
E4-2391,"6,2"
E4-2504,"6,1"
E4-2545,"4,1"
E4-2611,"5,3"
E4-2662,"3,75"
E4-2674,"5,5"
E4-2693,"5,8"
E4-2713,"4,6"
E4-2719,7
E4-2747,"6,5"
E4-2753,"5,5"
E4-2770,"6,5"
E4-2771,"6,2"
