A1   -   1º PEL / 1ª CIA,
Nº,NOTA
A1-1009,"9,5"
A1-1027,"9,5"
A1-1068,9
A1-1169,10
A1-1202,10
A1-1218,"8,5"
A1-1247,"8,25"
A1-1275,10
A1-1308,"7,25"
A1-1327,"9,25"
A1-1342,10
A1-1392,"9,25"
A1-1421,6
A1-1469,9
A1-1745,7
A1-1756,"8,5"
A1-1758,4
A1-1761,"7,25"
A1-1762,"6,25"
E1   -   2º PEL / 1ª CIA,
Nº,NOTA
E1-1016,7
E1-1050,"8,5"
E1-1063,"9,5"
E1-1079,7
E1-1213,"9,75"
E1-1261,"9,75"
E1-1286,9
E1-1462,"8,25"
E1-1484,"8,25"
E1-1561,"5,25"
E1-1597,"8,25"
E1-1612,"7,5"
E1-1649,"8,5"
E1-1670,"8,5"
E1-1678,"9,5"
E1-1700,"6,25"
E1-1714,"7,25"
E1-1737,"6,25"
E1-1748,"7,25"
E1-1754,"9,25"
E1-1767,"6,25"
E1-1769,"5,75"
M1   -   4º PEL / 1ª CIA,
Nº,NOTA
M1-1058,8
M1-1083,"9,25"
M1-1117,9
M1-1129,"6,25"
M1-1171,6
M1-1220,"7,75"
M1-1250,"8,75"
M1-1272,"8,5"
M1-1368,"8,5"
M1-1437,"7,5"
M1-1447,8
M1-1502,8
M1-1506,"5,5"
M1-1540,"9,6"
M1-1555,"7,1"
M1-1586,8
M1-1623,"6,5"
M1-1759,7
M1-1763,"8,25"
M1-1764,"8,3"
M1-1775,"9,7"
A2   -   1º PEL / 2ª CIA,
Nº,NOTA
A2-2067,9
A2-2088,"9,2"
A2-2151,"8,2"
A2-2180,"9,5"
A2-2198,"7,2"
A2-2235,"7,8"
A2-2266,"7,3"
A2-2280,"9,2"
A2-2290,"8,5"
A2-2312,10
A2-2366,"8,2"
A2-2408,"7,4"
A2-2425,"9,2"
A2-2446,"5,25"
A2-2473,"6,5"
A2-2491,"6,5"
A2-2492,"6,2"
A2-2750,B A I X A
A2-2755,6
E2   -   3º PEL / 1ª CIA,
Nº,NOTA
E2-1086,"8,75"
E2-1164,9
E2-1206,"7,5"
E2-1219,"9,25"
E2-1301,10
E2-1351,10
E2-1471,9
E2-1489,"7,75"
E2-1532,9
E2-1569,"7,25"
E2-1616,"7,25"
E2-1655,"9,25"
E2-1672,"8,75"
E2-1680,"7,5"
E2-1704,9
E2-1717,"7,7"
E2-1729,B A I X A
E2-1733,8
E2-1738,10
E2-1749,9
E2-1757,"8,25"
E2-1760,"7,7"
E2-1768,"8,8"
M2   -   4º PEL / 2ª CIA,
Nº,NOTA
M2-2026,9
M2-2073,"8,7"
M2-2104,"6,3"
M2-2119,10
M2-2137,"7,75"
M2-2201,9
M2-2225,"8,25"
M2-2271,"8,25"
M2-2317,"8,65"
M2-2380,"8,5"
M2-2494,"6,5"
M2-2503,"6,5"
M2-2529,7
M2-2551,"8,25"
M2-2556,"7,25"
M2-2637,"4,5"
M2-2648,9
M2-2663,"6,9"
M2-2668,"7,5"
M2-2669,"7,25"
M2-2752,8
E3   -   2º PEL / 2ª CIA,
Nº,NOTA
E3-2091,8
E3-2168,"7,5"
E3-2236,"7,2"
E3-2276,"8,25"
E3-2303,"7,5"
E3-2359,"7,2"
E3-2493,"9,75"
E3-2536,"7,75"
E3-2581,"7,2"
E3-2617,"8,5"
E3-2660,10
E3-2673,7
E3-2710,9
E3-2718,"7,75"
E3-2730,"8,5"
E3-2744,B A I X A
E3-2746,"8,4"
E3-2765,10
E3-2772,"6,2"
E3-2773,"6,25"
E3-2774,"5,75"
E3-2776,"5,95"
E4   -   3º PEL / 2ª CIA,
Nº,NOTA
E4-2035,"9,25"
E4-2075,"5,4"
E4-2077,"6,55"
E4-2173,"5,75"
E4-2208,"9,25"
E4-2241,"5,25"
E4-2279,3
E4-2313,9
E4-2391,"9,5"
E4-2504,"7,45"
E4-2545,"4,2"
E4-2611,7
E4-2662,"6,2"
E4-2674,"6,5"
E4-2693,"8,75"
E4-2713,"9,5"
E4-2719,9
E4-2747,10
E4-2753,"6,6"
E4-2770,"9,25"
E4-2771,"7,2"
