1º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,NOTA
A,11-047,6
M,11-053,6
M,11-065,6
A,11-107,6
E,11-125,"4,5"
E,11-131,5
E,11-137,7
M,11-143,"3,5"
E,11-149,6
E,11-155,5
E,11-161,"5,5"
E,11-167,"5,5"
E,11-170,6
E,11-179,"3,5"
E,11-183,5
E,11-184,"5,5"
E,11-186,"5,5"
E,11-187,"4,6"
E,11-190,"6,5"
A,11-193,3
E,11-194,4
M,11-195,3
3º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,PROVA
E,31-007,"6,5"
E,31-013,"6,5"
E,31-031,"6,5"
E,31-049,"6,5"
A,31-055,7
A,31-067,"5,5"
E,31-073,7
E,31-079,"5,5"
A,31-085,5
M,31-091,6
A,31-095,4
A,31-103,6
E,31-115,"5,5"
M,31-127,"6,5"
E,31-133,5
M,31-139,"6,5"
E,31-151,4
E,31-157,4
E,31-163,5
E,31-169,"3,5"
E,31-175,6
E,31-188,"6,5"
E,31-189,6
2º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,PROVA
M,22-009,"6,5"
A,22-015,7
A,22-027,6
A,22-033,"6,5"
M,22-045,"6,5"
A,22-051,5
M,22-063,4
M,22-069,"6,5"
E,22-081,"4,5"
A,22-093,7
A,22-099,"6,5"
A,22-105,5
A,22-111,5
M,22-117,6
A,22-123,6
M,22-129,6
M,22-141,5
E,22-147,6
E,22-159,6
E,22-165,5
E,22-171,"6,5"
E,22-176,"5,5"
E,22-191,"3,5"
2º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,PROVA
M,21-020,6
E,21-025,6
E,21-030,7
A,21-036,"6,5"
A,21-042,"5,5"
M,21-048,"4,5"
A,21-054,"6,5"
M,21-060,"6,5"
E,21-084,7
A,21-090,"4,5"
A,21-096,5
M,21-102,"6,5"
A,21-108,5
E,21-114,6
M,21-132,"4,5"
M,21-138,"4,5"
M,21-142,6
E,21-156,"4,5"
E,21-162,6
E,21-168,"4,5"
E,21-174,6
E,21-182,"5,5"
1º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,PROVA
A,12-008,6
E,12-014,"5,5"
M,12-018,"5,5"
E,12-022,"3,75"
A,12-026,6
M,12-032,7
M,12-050,"6,5"
E,12-062,"5,5"
A,12-074,"4,5"
A,12-110,"5,5"
M,12-116,"5,5"
A,12-128,"5,5"
E,12-134,"5,5"
M,12-140,7
M,12-146,"5,5"
E,12-152,"6,5"
E,12-158,"4,5"
E,12-164,"5,5"
E,12-177,"6,5"
3º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,PROVA
M,32-005,7
A,32-019,"6,5"
A,32-023,"5,5"
E,32-028,"6,5"
E,32-034,6
E,32-040,6
E,32-046,"6,5"
E,32-052,"6,5"
M,32-076,"6,5"
A,32-088,6
E,32-094,6
M,32-106,"6,5"
A,32-112,5
M,32-130,6
E,32-136,"6,5"
M,32-144,4
M,32-148,"5,5"
E,32-154,5
E,32-160,"5,5"
E,32-172,5
E,32-180,"5,5"
E,32-181,"3,5"
E,32-192,"3,5"
