1º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,NOTA
A,11-047,3
M,11-053,3
M,11-065,3
A,11-107,3
E,11-125,3
E,11-131,3
E,11-137,3
M,11-143,3
E,11-149,3
E,11-155,3
E,11-161,3
E,11-167,3
E,11-170,3
E,11-179,3
E,11-183,3
E,11-184,3
E,11-186,3
E,11-187,3
E,11-190,3
A,11-193,3
E,11-194,3
M,11-195,3
3º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,ROT 4
E,31-007,3
E,31-013,3
E,31-031,3
E,31-049,3
A,31-055,3
A,31-067,3
E,31-073,3
E,31-079,3
A,31-085,3
M,31-091,3
A,31-095,3
A,31-103,3
E,31-115,3
M,31-127,3
E,31-133,3
M,31-139,3
E,31-151,3
E,31-157,3
E,31-163,3
E,31-169,3
E,31-175,3
E,31-188,3
E,31-189,3
2º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,ROT 4
M,22-009,3
A,22-015,3
A,22-027,3
A,22-033,3
M,22-045,3
A,22-051,3
M,22-063,3
M,22-069,3
E,22-081,3
A,22-093,3
A,22-099,3
A,22-105,3
A,22-111,3
M,22-117,3
A,22-123,3
M,22-129,3
M,22-141,3
E,22-147,3
E,22-159,3
E,22-165,3
E,22-171,3
E,22-176,3
E,22-191,3
2º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,ROT 4
M,21-020,3
E,21-025,3
E,21-030,3
A,21-036,3
A,21-042,3
M,21-048,3
A,21-054,3
M,21-060,3
E,21-084,3
A,21-090,3
A,21-096,3
M,21-102,3
A,21-108,3
E,21-114,3
M,21-132,3
M,21-138,3
M,21-142,3
E,21-156,3
E,21-162,3
E,21-168,3
E,21-174,3
E,21-182,3
1º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,ROT 4
A,12-008,3
E,12-014,3
M,12-018,3
E,12-022,3
A,12-026,3
M,12-032,3
M,12-050,3
E,12-062,3
A,12-074,3
A,12-110,3
M,12-116,3
A,12-128,3
E,12-134,3
M,12-140,3
M,12-146,3
E,12-152,3
E,12-158,3
E,12-164,3
E,12-177,3
3º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,ROT 4
M,32-005,3
A,32-019,3
A,32-023,3
E,32-028,3
E,32-034,3
E,32-040,3
E,32-046,3
E,32-052,3
M,32-076,3
A,32-088,3
E,32-094,3
M,32-106,3
A,32-112,3
M,32-130,3
E,32-136,3
M,32-144,3
M,32-148,3
E,32-154,3
E,32-160,3
E,32-172,3
E,32-180,3
E,32-181,3
E,32-192,3
