A1 - APOIO 1,,,
ÁREA,Nº,,NOTA
APOIO,A1-,32-019,"9,75"
APOIO,A1-,22-027,"9,75"
APOIO,A1-,12-008,10
APOIO,A1-,22-099,10
APOIO,A1-,22-051,"8,5"
APOIO,A1-,22-093,9
APOIO,A1-,22-033,10
APOIO,A1-,31-055,"9,25"
APOIO,A1-,11-047,"9,5"
APOIO,A1-,21-096,"9,35"
APOIO,A1-,31-067,10
APOIO,A1-,22-123,"8,75"
APOIO,A1-,21-090,"9,2"
APOIO,A1-,12-128,"9,05"
APOIO,A1-,11-107,"8,8"
APOIO,A1-,32-088,"7,75"
APOIO,A1-,12-026,"9,5"
APOIO,A1-,21-042,9
APOIO,A1-,32-112,"9,25"
APOIO,A1-,21-036,10
APOIO,A1-,12-110,"9,5"
APOIO,A1-,21-108,8
APOIO,A1-,22-015,"9,75"
APOIO,A1-,22-105,"7,5"
APOIO,A1-,31-095,"9,1"
APOIO,A1-,21-054,9
APOIO,A1-,31-103,"9,5"
APOIO,A1-,32-023,"9,9"
APOIO,A1-,31-085,"7,5"
APOIO,A1-,22-111,"5,75"
APOIO,A1-,12-074,"8,25"
APOIO,A1-,11-193,"7,5"
E2 - ELETROELETRÔNICA 2,,,
ÁREA,Nº,,NOTA
ELETRO,E2-,21-084,"9,4"
ELETRO,E2-,32-046,"9,3"
ELETRO,E2-,31-188,10
ELETRO,E2-,11-149,"8,6"
ELETRO,E2-,22-147,7
ELETRO,E2-,32-136,"9,1"
ELETRO,E2-,11-190,"9,45"
ELETRO,E2-,21-174,"9,4"
ELETRO,E2-,12-134,"9,5"
ELETRO,E2-,31-115,10
ELETRO,E2-,12-062,"9,9"
ELETRO,E2-,31-151,"8,25"
ELETRO,E2-,32-180,"9,25"
ELETRO,E2-,32-172,"7,5"
ELETRO,E2-,32-034,"9,65"
ELETRO,E2-,22-191,"8,55"
ELETRO,E2-,22-081,"8,25"
ELETRO,E2-,31-163,"8,65"
ELETRO,E2-,32-181,"7,95"
ELETRO,E2-,11-161,9
ELETRO,E2-,12-158,"7,45"
ELETRO,E2-,31-189,"8,25"
M1 – MECÂNICA 1,,,
ÁREA,Nº,,NOTA
MECAN,M1-,12-146,"9,25"
MECAN,M1-,22-009,"9,75"
MECAN,M1-,21-060,"9,25"
MECAN,M1-,32-130,"8,35"
MECAN,M1-,12-050,9
MECAN,M1-,22-069,"9,95"
MECAN,M1-,21-048,"9,25"
MECAN,M1-,31-139,"9,375"
MECAN,M1-,31-127,10
MECAN,M1-,11-053,10
MECAN,M1-,21-102,"8,7"
MECAN,M1-,32-144,"8,125"
MECAN,M1-,22-063,"8,15"
MECAN,M1-,32-148,"8,35"
MECAN,M1-,21-142,"7,75"
MECAN,M1-,11-065,9
MECAN,M1-,11-195,"9,25"
E1 - ELETROELETRÔNICA,,INST. / PROF.,
ÁREA,Nº,,NOTA
ELETRO,E1-,32-040,"8,5"
ELETRO,E1-,11-184,"9,875"
ELETRO,E1-,31-073,"8,75"
ELETRO,E1-,31-013,"8,5"
ELETRO,E1-,32-094,"8,5"
ELETRO,E1-,22-159,"8,75"
ELETRO,E1-,32-052,10
ELETRO,E1-,22-176,8
ELETRO,E1-,12-177,10
ELETRO,E1-,31-049,"9,125"
ELETRO,E1-,31-157,"7,75"
ELETRO,E1-,11-179,"6,5"
ELETRO,E1-,21-182,"7,25"
ELETRO,E1-,12-014,"8,15"
ELETRO,E1-,31-169,8
ELETRO,E1-,11-131,"9,75"
ELETRO,E1-,11-167,9
ELETRO,E1-,11-186,"7,75"
ELETRO,E1-,31-133,"8,75"
ELETRO,E1-,12-022,"6,5"
ELETRO,E1-,11-183,"7,875"
ELETRO,E1-,11-155,"9,25"
E3 – ELETROELETRÔNICA 3,,INST. / PROF.,
ÁREA,Nº,,NOTA
ELETRO,E3-,22-171,"9,5"
ELETRO,E3-,21-114,"9,75"
ELETRO,E3-,21-030,"9,5"
ELETRO,E3-,31-007,"9,6"
ELETRO,E3-,32-154,"6,75"
ELETRO,E3-,12-152,8
ELETRO,E3-,11-137,"9,75"
ELETRO,E3-,31-031,"9,5"
ELETRO,E3-,32-028,"8,5"
ELETRO,E3-,32-160,"8,95"
ELETRO,E3-,21-162,"8,75"
ELETRO,E3-,21-025,8
ELETRO,E3-,21-168,"8,75"
ELETRO,E3-,21-156,"9,5"
ELETRO,E3-,11-187,"6,5"
ELETRO,E3-,12-164,9
ELETRO,E3-,22-165,"8,5"
ELETRO,E3-,11-170,"9,75"
ELETRO,E3-,11-194,"9,25"
ELETRO,E3-,31-175,"9,15"
ELETRO,E3-,32-192,9
ELETRO,E3-,11-125,"4,75"
M2 – MECÂNICA 2,,INST. / PROF.,
ÁREA,Nº,,NOTA
MECAN,M2-,32-005,"9,5"
MECAN,M2-,12-140,10
MECAN,M2-,22-117,"9,75"
MECAN,M2-,32-106,"9,4"
MECAN,M2-,21-138,"8,5"
MECAN,M2-,12-032,"9,5"
MECAN,M2-,22-045,10
MECAN,M2-,32-076,"9,25"
MECAN,M2-,22-141,10
MECAN,M2-,12-116,10
MECAN,M2-,22-129,"7,4"
MECAN,M2-,21-132,"8,4"
MECAN,M1-,12-018,"8,75"
MECAN,M2-,31-091,"9,75"
MECAN,M2-,11-143,"7,25"
MECAN,M2-,21-020,"9,25"
