1º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,NOTA
A,11-047,10
M,11-053,10
M,11-065,"9,63"
E,11-089,"9,75"
A,11-107,"9,69"
E,11-125,"8,5"
E,11-131,"8,38"
E,11-137,10
M,11-143,"7,25"
E,11-149,"8,25"
E,11-155,"9,13"
E,11-161,"8,5"
E,11-167,"8,5"
E,11-170,"9,38"
E,11-179,"6,5"
E,11-183,7
E,11-184,"8,38"
E,11-186,"8,63"
E,11-187,"4,4"
E,11-190,10
A,11-193,"7,4"
E,11-194,7
M,11-195,"9,38"
3º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,NOTA
E,31-007,9
E,31-013,"8,5"
E,31-031,"9,55"
E,31-049,"9,25"
A,31-055,9
A,31-067,"8,25"
E,31-073,"8,25"
E,31-079,"8,25"
A,31-085,7
M,31-091,"9,5"
A,31-095,"7,7"
A,31-103,"9,25"
E,31-115,"8,25"
M,31-127,"9,25"
E,31-133,10
M,31-139,"9,5"
E,31-151,"8,25"
E,31-157,"8,5"
E,31-163,"6,55"
E,31-169,"9,75"
E,31-175,"6,25"
E,31-188,9
E,31-189,"7,5"
2º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,NOTA
M,22-009,"9,9"
A,22-015,10
A,22-027,10
A,22-033,"9,5"
M,22-045,10
A,22-051,"7,25"
M,22-063,"7,25"
M,22-069,"9,25"
E,22-081,"7,8"
A,22-093,10
A,22-099,10
A,22-105,"9,5"
A,22-111,"8,5"
M,22-117,"8,5"
A,22-123,"6,9"
M,22-129,"8,5"
M,22-141,"8,75"
E,22-147,"8,5"
E,22-159,"8,25"
E,22-165,"7,25"
E,22-171,9
E,22-176,"7,75"
E,22-191,"7,75"
2º PELOTÃO DA 1ª COMPANHIA,,
ÁREA,Nº,NOTA
M,21-020,"9,38"
E,21-025,"9,75"
E,21-030,10
A,21-036,10
A,21-042,"9,88"
M,21-048,8
A,21-054,"7,88"
M,21-060,10
E,21-078,"9,75"
E,21-084,"9,63"
A,21-090,"9,88"
A,21-096,9
M,21-102,"8,93"
A,21-108,"8,5"
E,21-114,10
M,21-132,"7,5"
M,21-138,"8,5"
M,21-142,"7,75"
E,21-156,"8,88"
E,21-162,"8,75"
E,21-168,"8,25"
E,21-174,10
E,21-182,"8,75"
1º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,NOTA
A,12-008,"9,5"
E,12-014,"9,5"
M,12-018,"9,25"
E,12-022,"5,75"
A,12-026,9
M,12-032,"8,75"
M,12-050,"9,25"
E,12-062,"8,9"
A,12-074,7
E,12-104,8
A,12-110,"9,25"
M,12-116,"9,5"
A,12-128,"6,65"
E,12-134,"9,5"
M,12-140,"8,5"
M,12-146,"9,75"
E,12-152,10
E,12-158,"8,25"
E,12-164,"8,5"
E,12-177,"9,5"
3º PELOTÃO DA 2ª COMPANHIA,,
ÁREA,Nº,NOTA
M,32-005,10
A,32-019,10
A,32-023,9
E,32-028,"8,88"
E,32-034,"7,5"
E,32-040,10
E,32-046,10
E,32-052,"8,75"
M,32-076,10
A,32-088,9
E,32-094,"9,5"
M,32-106,10
A,32-112,"6,38"
M,32-130,9
E,32-136,"9,5"
M,32-144,"9,5"
M,32-148,"7,5"
E,32-154,"8,88"
E,32-160,8
E,32-172,"7,75"
E,32-180,"7,88"
E,32-181,"7,25"
E,32-192,"7,25"
