A1   -   1º PEL / 1ª CIA,
Nº,NOTA
A1-1009,BAIXA
A1-1028,"9,5"
A1-1087,"9,5"
A1-1106,8
A1-1143,10
A1-1179,9
A1-1210,"9,5"
A1-1267,9
A1-1310,8
A1-1360,"8,5"
A1-1412,"8,5"
A1-1416,"7,5"
A1-1438,8
A1-1452,"9,5"
A1-1460,10
A1-1503,"9,5"
A1-1516,10
A1-1527,9
A1-1536,9
A1-1554,10
A1-1576,"9,5"
A1-1608,6
A1-1620,"8,5"
A1-1630,10
A1-1971,8
E1   -   2º PEL / 1ª CIA,
Nº,NOTA
E1-1013,8
E1-1047,9
E1-1072,"9,5"
E1-1112,10
E1-1131,8
E1-1154,"7,5"
E1-1209,8
E1-1232,"8,5"
E1-1362,"7,5"
E1-1388,9
E1-1459,9
E1-1567,"9,5"
E1-1647,"7,5"
E1-1660,"6,5"
E1-1678,5
E1-1710,10
E1-1742,10
E1-1776,9
E1-1793,7
E1-1797,BAIXA
E1-1827,9
E1-1860,8
E1-1970,9
M1   -   3º PEL / 1ª CIA,
Nº,NOTA
M1-1018,10
M1-1119,"9,5"
M1-1159,9
M1-1194,9
M1-1229,10
M1-1244,8
M1-1266,"9,5"
M1-1292,"9,5"
M1-1376,7
M1-1423,7
M1-1430,"5,5"
M1-1436,8
M1-1450,9
M1-1461,8
M1-1485,4
M1-1500,"8,5"
M1-1517,"8,5"
M1-1616,9
M1-1646,9
M1-1663,"8,5"
M1-1667,"9,5"
M1-1677,"9,5"
M1-1972,"7,5"
A2   -   1º PEL / 2ª CIA,
Nº,NOTA
A2-2014,"7,5"
A2-2033,10
A2-2077,"9,5"
A2-2125,"8,5"
A2-2138,"9,5"
A2-2144,"9,5"
A2-2180,9
A2-2186,8
A2-2207,10
A2-2247,10
A2-2274,"9,5"
A2-2375,7
A2-2392,10
A2-2414,9
A2-2437,"9,5"
A2-2445,9
A2-2456,7
A2-2498,"9,5"
A2-2515,9
A2-2534,"8,5"
A2-2536,"7,5"
A2-2552,7
A2-2568,10
A2-2580,"9,5"
A2-2614,"7,5"
A2-2624,7
A2-2630,10
E2   -   3º PEL / 1ª CIA,
Nº,NOTA
E2-1016,7
E2-1073,"7,5"
E2-1133,9
E2-1177,"9,5"
E2-1216,8
E2-1233,8
E2-1329,"9,5"
E2-1339,"8,5"
E2-1368,"9,5"
E2-1406,"7,5"
E2-1477,9
E2-1530,9
E2-1596,7
E2-1669,7
E2-1680,"6,5"
E2-1718,9
E2-1746,9
E2-1777,"7,5"
E2-1794,8
E2-1814,10
E2-1828,8
E2-1878,"5,5"
M2   -   3º PEL / 2ª CIA,
Nº,NOTA
M2-2003,5
M2-2126,10
M2-2197,10
M2-2269,"8,5"
M2-2311,9
M2-2349,9
M2-2398,"5,5"
M2-2425,"8,5"
M2-2432,"9,5"
M2-2447,"5,5"
M2-2453,9
M2-2473,8
M2-2492,8
M2-2504,9
M2-2523,6
M2-2579,"8,5"
M2-2643,9
M2-2649,8
M2-2666,"8,5"
M2-2671,"7,5"
M2-2689,"8,5"
M2-2705,"9,5"
M2-1691,"5,5"
E3   -   2º PEL / 2ª CIA,
Nº,NOTA
E3-2025,"9,5"
E3-2054,"8,5"
E3-2074,10
E3-2121,"9,5"
E3-2149,10
E3-2172,"9,5"
E3-2218,10
E3-2251,10
E3-2334,8
E3-2369,"9,5"
E3-2426,"8,5"
E3-2484,"8,5"
E3-2543,"9,5"
E3-2604,9
E3-2656,10
E3-2672,"8,5"
E3-2686,9
E3-2722,9
E3-2759,9
E3-2783,10
E3-2795,6
E3-2815,"9,5"
E3-2852,"9,5"
E3-2898,"8,5"
E4   -   3º PEL / 2ª CIA,
Nº,NOTA
E4-2036,"8,5"
E4-2153,10
E4-2174,10
E4-2228,8
E4-2261,9
E4-2350,9
E4-2370,"9,5"
E4-2440,"8,5"
E4-2499,"8,5"
E4-2526,"5,5"
E4-2546,"7,5"
E4-2621,"8,5"
E4-2657,9
E4-2673,"9,5"
E4-2702,8
E4-2775,"9,5"
E4-2790,9
E4-2796,9
E4-2822,6
E4-2855,10
E4-2939,"9,5"
