A1   -   1º PEL / 1ª CIA,
Nº,TRAB
A1-1028,3
A1-1087,3
A1-1106,"2,85"
A1-1143,3
A1-1179,3
A1-1210,3
A1-1267,"2,85"
A1-1310,"2,85"
A1-1360,"2,85"
A1-1412,3
A1-1416,3
A1-1438,3
A1-1452,3
A1-1460,3
A1-1503,3
A1-1516,3
A1-1527,3
A1-1536,3
A1-1554,3
A1-1576,3
A1-1608,"2,85"
A1-1620,3
A1-1630,3
A1-1971,"2,85"
E1   -   2º PEL / 1ª CIA,
Nº,TRAB
E1-1013,3
E1-1047,3
E1-1072,3
E1-1112,"2,85"
E1-1131,3
E1-1154,"2,85"
E1-1209,"2,85"
E1-1232,3
E1-1362,"2,85"
E1-1388,3
E1-1459,3
E1-1567,"2,85"
E1-1647,3
E1-1660,"2,85"
E1-1678,"2,85"
E1-1710,"2,85"
E1-1742,3
E1-1776,3
E1-1793,3
E1-1797,3
E1-1827,"2,85"
E1-1860,3
E1-1970,3
M1   -   3º PEL / 1ª CIA,
Nº,TRAB
M1-1018,3
M1-1119,3
M1-1159,3
M1-1194,"2,85"
M1-1229,3
M1-1244,3
M1-1266,3
M1-1292,3
M1-1376,"2,85"
M1-1423,3
M1-1430,3
M1-1436,3
M1-1450,3
M1-1461,3
M1-1485,"2,85"
M1-1500,3
M1-1517,"2,85"
M1-1616,3
M1-1646,3
M1-1663,3
M1-1667,"2,85"
M1-1677,3
M1-1972,3
A2   -   1º PEL / 2ª CIA,
Nº,TRAB
A2-2014,3
A2-2033,3
A2-2077,3
A2-2125,3
A2-2138,3
A2-2144,3
A2-2180,3
A2-2186,3
A2-2207,3
A2-2247,"2,85"
A2-2274,3
A2-2375,3
A2-2392,3
A2-2414,3
A2-2437,3
A2-2445,3
A2-2456,3
A2-2498,3
A2-2515,3
A2-2534,3
A2-2536,"2,85"
A2-2552,3
A2-2568,3
A2-2580,3
A2-2614,3
A2-2624,"2,85"
A2-2630,3
E2   -   3º PEL / 1ª CIA,
Nº,TRAB
E2-1016,"2,8"
E2-1073,3
E2-1133,3
E2-1177,3
E2-1216,"2,8"
E2-1233,3
E2-1329,3
E2-1339,3
E2-1368,3
E2-1406,3
E2-1477,3
E2-1530,"2,85"
E2-1596,3
E2-1669,"2,8"
E2-1680,3
E2-1718,"2,85"
E2-1746,3
E2-1777,3
E2-1794,"2,85"
E2-1814,3
E2-1828,"2,8"
E2-1878,"2,8"
M2   -   3º PEL / 2ª CIA,
Nº,TRAB
M2-2003,"2,7"
M2-2126,3
M2-2197,3
M2-2269,"2,9"
M2-2311,3
M2-2349,3
M2-2398,"2,7"
M2-2425,"2,85"
M2-2432,3
M2-2447,"2,8"
M2-2453,3
M2-2473,3
M2-2492,"2,85"
M2-2504,3
M2-2523,"2,85"
M2-2579,3
M2-2643,3
M2-2649,3
M2-2666,"2,85"
M2-2671,"2,85"
M2-2689,3
M2-2705,3
M2-1691,3
E3   -   2º PEL / 2ª CIA,
Nº,TRAB
E3-2025,3
E3-2054,"2,85"
E3-2074,"2,88"
E3-2121,3
E3-2149,"2,85"
E3-2172,3
E3-2218,"2,85"
E3-2251,3
E3-2334,3
E3-2369,"2,85"
E3-2426,3
E3-2484,3
E3-2543,3
E3-2604,3
E3-2656,"2,9"
E3-2672,"2,7"
E3-2686,"2,85"
E3-2722,3
E3-2759,"2,9"
E3-2783,"2,7"
E3-2795,"2,7"
E3-2815,"2,9"
E3-2852,3
E3-2898,3
E4   -   3º PEL / 2ª CIA,
Nº,TRAB
E4-2036,3
E4-2153,3
E4-2174,"2,85"
E4-2228,3
E4-2261,3
E4-2350,3
E4-2370,3
E4-2440,3
E4-2499,3
E4-2526,"2,85"
E4-2546,3
E4-2621,3
E4-2657,3
E4-2673,3
E4-2702,3
E4-2775,3
E4-2790,3
E4-2796,3
E4-2822,3
E4-2855,3
E4-2939,3
